BestWorldModelAgent,0.1,0.1,50
BestReactiveAgent,0.1,0.1,70
SenseDirtAgent,0.1,0.1,40
SenseDirtAgent,0.1,0.1,60
BestWorldModelAgent,0.1,0.1,90
BestReactiveAgent,0.1,0.1,100
SenseDirtAgent,0.1,0.1,40
SenseDirtAgent,0.1,0.1,70
BestWorldModelAgent,0.1,0.1,50
BestReactiveAgent,0.1,0.1,110
SenseDirtAgent,0.1,0.1,30
SenseDirtAgent,0.1,0.1,90
BestWorldModelAgent,0.1,0.1,20
BestReactiveAgent,0.1,0.1,20
SenseDirtAgent,0.1,0.1,30
SenseDirtAgent,0.1,0.1,70
BestWorldModelAgent,0.1,0.1,160
BestReactiveAgent,0.1,0.1,120
SenseDirtAgent,0.1,0.1,50
SenseDirtAgent,0.1,0.1,100
BestWorldModelAgent,0.1,0.1,80
BestReactiveAgent,0.1,0.1,30
SenseDirtAgent,0.1,0.1,30
SenseDirtAgent,0.1,0.1,40
BestWorldModelAgent,0.1,0.1,50
BestReactiveAgent,0.1,0.1,100
SenseDirtAgent,0.1,0.1,30
SenseDirtAgent,0.1,0.1,90
BestWorldModelAgent,0.1,0.1,130
BestReactiveAgent,0.1,0.1,130
SenseDirtAgent,0.1,0.1,110
SenseDirtAgent,0.1,0.1,80
BestWorldModelAgent,0.1,0.1,80
BestReactiveAgent,0.1,0.1,120
SenseDirtAgent,0.1,0.1,10
SenseDirtAgent,0.1,0.1,40
BestWorldModelAgent,0.1,0.1,30
BestReactiveAgent,0.1,0.1,10
SenseDirtAgent,0.1,0.1,10
SenseDirtAgent,0.1,0.1,90
BestWorldModelAgent,0.1,0.1,90
BestReactiveAgent,0.1,0.1,60
SenseDirtAgent,0.1,0.1,40
SenseDirtAgent,0.1,0.1,70
BestWorldModelAgent,0.1,0.1,50
BestReactiveAgent,0.1,0.1,70
SenseDirtAgent,0.1,0.1,30
SenseDirtAgent,0.1,0.1,80
BestWorldModelAgent,0.1,0.1,110
BestReactiveAgent,0.1,0.1,50
SenseDirtAgent,0.1,0.1,20
SenseDirtAgent,0.1,0.1,50
